host,open_ports,vuln_score,critical_vulns,service_http_open,service_ssh_open,service_rdp_open,snort_alert,device_type,geo_location_risk,avg_packet_size,scan_hour,label,device_type_encoded,predicted_label
host_69,36,9.55,0,0,0,0,0,endpoint,0,296.37,1,1,1,1
host_71,4,9.34,2,1,0,0,0,endpoint,0,298.12,4,1,1,1
host_72,2,2.03,1,0,1,0,0,server,1,283.47,12,1,3,1
host_73,6,1.47,1,0,0,0,1,endpoint,0,241.55,0,1,1,1
host_74,54,8.56,3,0,0,0,0,router,0,369.9,5,1,2,1
host_76,54,1.87,1,1,1,0,0,endpoint,1,254.63,1,1,1,1
host_78,63,8.01,4,0,0,0,0,router,0,262.51,14,1,2,1
host_79,18,4.54,0,0,1,0,1,server,1,308.58,8,1,3,1
host_81,44,3.18,2,1,0,0,0,IoT,1,299.21,2,1,0,1
host_82,34,3.81,1,1,1,1,1,endpoint,0,389.82,8,1,1,1
host_83,74,9.91,1,0,1,0,0,IoT,0,211.89,0,1,0,1
host_86,95,8.44,0,0,0,0,0,IoT,0,279.5,2,1,0,1
host_87,48,2.39,2,0,0,0,1,server,0,199.07,5,1,3,1
host_89,72,6.15,4,0,0,0,0,endpoint,1,300.31,9,1,1,1
host_90,78,4.81,1,0,0,0,1,endpoint,0,378.29,11,1,1,1
host_91,87,4.6,1,0,0,0,0,endpoint,1,291.92,1,1,1,1
host_93,40,5.87,2,0,0,0,0,endpoint,1,301.75,1,1,1,1
host_95,80,6.53,0,0,0,0,1,endpoint,0,274.88,17,1,1,1
host_98,24,9.53,2,0,0,0,0,server,0,325.91,1,1,3,1
host_99,26,5.41,3,0,0,0,0,server,0,338.92,1,1,3,1
host_100,89,7.15,2,0,0,0,0,server,1,232.37,8,1,3,1
host_102,41,8.55,0,0,0,0,0,endpoint,0,217.18,22,1,1,1
host_103,29,9.3,2,0,0,0,1,server,0,325.84,8,1,3,1
host_104,15,1.84,1,0,0,0,1,IoT,1,366.72,1,1,0,1
host_107,89,4.05,3,0,0,0,0,server,0,328.73,23,1,3,1
host_109,9,8.14,2,0,0,0,0,router,0,317.99,20,1,2,1
host_110,88,0.36,4,0,1,0,1,router,0,289.65,16,1,2,1
host_114,63,9.06,0,0,0,1,0,endpoint,0,329.72,13,1,1,1
host_115,11,8.39,0,0,0,0,1,endpoint,0,346.64,5,1,1,1
host_117,8,4.11,3,0,0,1,0,endpoint,1,310.11,21,1,1,1
host_119,35,7.3,3,0,1,1,0,endpoint,0,369.39,1,1,1,1
host_121,5,6.8,2,0,0,0,0,endpoint,1,290.7,17,1,1,1
host_122,41,8.42,0,0,1,0,0,IoT,0,277.61,18,1,0,1
host_124,7,8.66,0,1,0,0,0,endpoint,0,239.42,9,1,1,1
host_125,73,0.33,0,0,0,0,0,endpoint,1,211.25,3,1,1,1
host_126,72,9.13,4,0,0,1,0,endpoint,0,368.36,18,1,1,1
host_128,34,6.46,1,1,0,0,1,server,0,367.49,9,1,3,1
host_130,48,8.37,1,1,0,0,0,endpoint,0,316.79,9,1,1,1
host_136,44,8.82,2,0,0,0,1,endpoint,0,346.61,0,1,1,1
host_138,91,2.9,5,0,0,0,0,server,0,298.17,18,1,3,1
host_139,35,0.15,4,0,0,0,0,endpoint,0,296.91,11,1,1,1
host_141,99,4.02,1,0,0,0,1,server,0,371.6,1,1,3,1
host_142,47,3.75,3,0,0,0,0,server,0,306.25,15,1,3,1
host_144,3,4.3,3,0,0,0,1,endpoint,0,270.89,19,1,1,1
host_145,1,9.84,1,0,0,0,0,endpoint,0,260.82,7,1,1,1
host_148,14,7.76,0,0,1,0,0,router,0,415.93,13,1,2,1
host_149,27,7.49,1,0,0,0,0,router,0,227.38,10,1,2,1
host_150,9,3.29,3,1,0,0,1,endpoint,0,246.31,12,1,1,1
host_152,15,8.71,0,1,0,0,0,server,0,328.99,12,1,3,1
host_154,42,4.36,3,0,1,0,0,server,0,389.26,22,1,3,1
host_156,51,3.89,1,0,0,0,1,router,0,251.29,11,1,2,1
host_158,96,7.47,3,0,0,0,0,server,0,250.63,20,1,3,1
host_159,52,0.94,4,0,0,0,0,endpoint,0,320.61,18,1,1,1
host_161,4,5.64,2,0,1,0,1,endpoint,0,351.33,21,1,1,1
host_163,23,7.32,3,0,0,0,1,server,0,243.28,16,1,3,1
host_165,43,9.45,2,0,0,0,1,router,0,198.22,2,1,2,1
host_166,29,4.82,5,1,0,0,1,server,0,226.11,5,1,3,1
host_168,13,8.26,7,1,1,0,0,router,1,309.96,8,1,2,1
host_169,32,2.75,2,0,0,0,0,router,1,318.8,17,1,2,1
host_170,71,0.75,1,0,0,0,1,endpoint,0,267.19,15,1,1,1
host_171,59,7.08,0,0,1,0,0,endpoint,0,214.11,19,1,1,1
host_173,28,8.97,3,0,1,0,0,endpoint,0,299.82,10,1,1,1
host_174,66,9.83,3,1,0,0,0,server,0,369.44,4,1,3,1
host_175,42,3.99,3,0,0,0,0,server,0,267.26,16,1,3,1
host_179,6,7.82,2,0,0,0,0,endpoint,1,336.83,2,1,1,1
host_180,28,7.59,1,1,1,0,0,router,0,313.75,2,1,2,1
host_182,44,0.45,1,0,0,0,1,server,0,233.39,15,1,3,1
host_183,84,3.1,2,1,0,0,1,server,0,314.67,9,1,3,1
host_184,30,2.92,3,1,0,1,0,router,0,255.81,21,1,2,1
host_185,62,8.11,1,0,0,0,1,endpoint,1,360.63,1,1,1,1
host_186,75,0.88,3,0,0,0,1,endpoint,0,281.32,16,1,1,1
host_187,92,8.06,1,1,0,0,0,endpoint,1,241.22,13,1,1,1
host_188,89,6.69,3,1,0,1,0,endpoint,0,241.96,12,1,1,1
host_189,62,7.32,5,0,1,1,1,endpoint,0,256.59,11,1,1,1
host_191,1,6.8,3,0,0,0,0,endpoint,0,399.43,23,1,1,1
host_192,27,6.09,1,0,0,0,1,endpoint,0,396.35,13,1,1,1
host_193,62,7.69,2,0,0,0,1,server,0,333.17,8,1,3,1
host_198,27,4.36,3,0,0,0,0,server,0,301.38,8,1,3,1
host_199,9,9.72,1,0,0,1,0,router,0,322.71,22,1,2,1
host_200,62,0.38,1,0,0,0,0,router,1,271.8,10,1,2,1
host_201,37,3.16,3,0,0,0,0,router,0,304.7,9,1,2,1
host_202,97,3.14,4,0,1,0,1,router,0,349.6,4,1,2,1
host_203,51,6.33,0,0,0,0,1,endpoint,0,268.98,11,1,1,1
host_208,32,7.28,0,1,0,0,0,router,0,286.98,1,1,2,1
host_209,96,3.24,2,0,1,0,1,endpoint,0,303.68,3,1,1,1
host_210,88,9.77,3,0,0,0,0,IoT,0,421.7,11,1,0,1
host_212,62,4.45,4,0,0,0,0,endpoint,0,255.36,21,1,1,1
host_215,12,9.98,1,0,0,0,1,endpoint,0,225.73,18,1,1,1
host_216,39,8.89,1,0,1,0,0,server,0,209.88,15,1,3,1
host_218,3,5.63,1,1,0,0,1,router,0,300.71,14,1,2,1
host_219,56,6.48,2,0,0,0,1,endpoint,1,310.33,15,1,1,1
host_221,59,1.45,4,0,1,0,0,endpoint,0,317.71,20,1,1,1
host_222,2,9.04,0,0,0,0,0,server,0,337.89,11,1,3,1
host_223,2,9.69,4,0,1,0,0,endpoint,0,323.8,19,1,1,1
host_224,92,9.92,1,0,1,0,0,server,0,193.34,13,1,3,1
host_225,54,7.9,2,1,0,0,1,server,0,274.56,6,1,3,1
host_227,96,3.46,5,0,0,0,0,router,0,313.46,3,1,2,1
host_228,97,1.71,4,0,0,1,0,endpoint,0,270.72,11,1,1,1
host_229,1,0.79,1,0,0,0,0,IoT,1,393.63,1,1,0,1
host_230,19,6.93,0,0,0,0,0,router,1,242.77,3,1,2,1
host_231,2,7.85,3,0,0,0,1,endpoint,0,313.57,2,1,1,1
host_232,53,8.26,2,1,0,0,0,server,0,305.18,18,1,3,1
host_233,44,9.14,2,1,0,0,0,server,0,242.52,8,1,3,1
host_234,90,8.8,0,0,0,0,0,endpoint,1,272.74,15,1,1,1
host_235,32,10.0,1,1,0,0,0,server,0,323.22,11,1,3,1
host_236,70,2.44,1,1,0,0,1,router,0,257.9,8,1,2,1
host_237,32,7.63,3,0,0,0,0,router,0,351.11,14,1,2,1
host_238,68,5.86,1,0,0,0,0,endpoint,1,290.34,19,1,1,1
host_240,75,9.82,1,0,0,0,0,router,0,290.15,16,1,2,1
host_241,56,8.98,2,1,0,0,0,router,0,262.63,1,1,2,1
host_246,98,9.36,2,0,0,0,0,server,0,261.98,13,1,3,1
host_247,70,2.34,1,0,0,0,1,server,0,281.02,16,1,3,1
host_249,11,2.59,2,0,0,0,0,endpoint,1,265.01,12,1,1,1
host_250,16,0.19,3,0,0,0,0,router,0,270.21,19,1,2,1
host_251,97,0.36,2,0,0,1,0,router,1,245.87,15,1,2,1
host_252,73,9.15,1,0,0,0,0,endpoint,0,322.1,22,1,1,1
host_253,59,3.52,2,1,1,0,1,server,0,295.14,15,1,3,1
host_255,80,0.18,1,0,0,0,0,endpoint,1,349.79,12,1,1,1
host_257,3,8.05,1,0,0,0,1,endpoint,0,321.18,11,1,1,1
host_259,59,7.54,0,0,0,0,0,server,0,277.24,11,1,3,1
host_261,19,3.1,2,0,1,1,1,server,0,348.93,15,1,3,1
host_263,67,3.23,0,0,0,0,1,endpoint,0,330.96,5,1,1,1
host_264,19,8.39,1,1,0,0,0,endpoint,0,322.14,9,1,1,1
host_267,71,1.37,2,0,1,0,1,server,0,284.21,18,1,3,1
host_269,33,9.13,1,0,1,0,0,server,0,305.53,1,1,3,1
host_272,82,9.61,2,0,1,0,0,router,0,252.89,11,1,2,1
host_273,1,6.27,0,1,0,0,0,IoT,1,295.9,0,1,0,1
host_274,11,2.6,1,0,0,0,1,server,0,275.1,7,1,3,1
host_276,57,7.05,2,0,0,0,0,endpoint,0,325.87,0,1,1,1
host_277,89,7.35,2,0,0,0,0,server,0,306.22,9,1,3,1
host_278,50,3.03,3,1,1,0,0,endpoint,0,435.99,8,1,1,1
host_280,31,9.91,1,1,0,0,0,router,0,326.32,18,1,2,1
host_283,99,0.62,1,1,0,0,1,router,0,354.74,9,1,2,1
host_284,7,8.21,1,1,0,0,0,endpoint,0,296.74,7,1,1,1
host_286,90,6.74,2,0,0,0,1,server,1,376.94,9,1,3,1
host_289,1,8.43,1,1,0,0,0,endpoint,0,270.05,13,1,1,1
host_290,48,3.99,2,0,0,0,1,router,1,433.14,2,1,2,1
host_292,69,4.02,2,0,1,0,1,server,0,258.28,0,1,3,1
host_293,37,3.0,4,0,0,0,0,endpoint,0,338.74,7,1,1,1
host_294,32,8.03,0,0,0,0,1,router,0,243.02,0,1,2,1
host_296,99,7.23,2,0,0,1,0,server,0,285.56,10,1,3,1
host_297,19,2.06,4,1,0,0,1,endpoint,0,264.02,7,1,1,1
host_298,48,2.5,2,1,0,0,0,endpoint,1,402.5,4,1,1,1
host_302,24,7.45,0,1,0,0,0,endpoint,0,343.3,13,1,1,1
host_303,54,2.14,5,0,0,0,0,endpoint,0,229.1,12,1,1,1
host_304,33,0.11,2,0,0,0,1,endpoint,0,386.59,16,1,1,1
host_305,24,7.77,3,0,0,0,0,server,1,347.63,5,1,3,1
host_306,75,8.22,1,0,1,1,1,endpoint,0,272.97,12,1,1,1
host_310,84,7.94,1,0,0,0,0,endpoint,0,359.72,20,1,1,1
host_311,99,8.74,2,0,0,1,1,endpoint,0,257.89,2,1,1,1
host_312,89,8.51,3,0,0,0,0,server,0,295.09,5,1,3,1
host_313,99,7.77,3,0,0,0,0,server,0,359.37,23,1,3,1
host_314,25,2.69,3,0,0,0,1,server,0,354.51,21,1,3,1
host_315,93,8.12,3,0,0,0,0,router,0,286.87,12,1,2,1
host_316,18,5.33,0,1,0,0,0,endpoint,1,310.92,19,1,1,1
host_319,54,9.42,0,0,0,0,0,endpoint,0,292.02,8,1,1,1
host_320,35,8.88,1,0,0,0,1,endpoint,0,190.0,13,1,1,1
host_321,80,1.02,3,0,0,0,0,server,0,303.98,18,1,3,1
host_322,61,7.44,1,0,1,0,0,server,0,323.38,4,1,3,1
host_323,41,8.06,0,1,0,0,0,server,0,315.21,1,1,3,1
host_326,33,7.11,2,0,1,0,0,IoT,0,292.51,20,1,0,1
host_327,14,4.39,2,0,0,0,1,endpoint,0,324.19,23,1,1,1
host_329,48,7.06,3,1,0,0,0,server,0,323.95,5,1,3,1
host_330,20,9.12,1,0,1,0,0,server,0,286.5,18,1,3,1
host_332,7,7.74,2,0,0,0,0,endpoint,0,365.6,3,1,1,1
host_337,76,8.6,1,0,0,0,1,router,0,313.84,17,1,2,1
host_338,59,1.23,2,0,0,0,1,endpoint,0,413.4,18,1,1,1
host_341,30,9.38,1,1,1,0,0,endpoint,0,307.83,22,1,1,1
host_344,54,2.38,4,0,0,0,0,router,0,257.98,6,1,2,1
host_345,8,8.2,1,0,0,0,0,IoT,0,309.52,9,1,0,1
host_347,27,2.41,3,0,0,0,0,router,0,250.22,16,1,2,1
host_348,98,1.3,0,1,1,0,1,server,1,320.12,18,1,3,1
host_349,21,7.15,1,0,0,0,0,server,0,341.18,8,1,3,1
host_350,30,0.69,0,1,1,0,1,router,0,334.86,18,1,2,1
host_351,97,3.31,4,0,0,0,0,endpoint,0,305.81,13,1,1,1
host_354,97,7.3,2,0,0,0,0,endpoint,0,317.55,8,1,1,1
host_356,61,9.31,2,0,0,0,0,server,0,280.72,23,1,3,1
host_357,48,9.51,2,0,1,0,0,endpoint,0,214.42,15,1,1,1
host_359,4,7.78,2,0,0,0,0,server,0,320.16,6,1,3,1
host_360,35,7.39,1,1,0,1,1,endpoint,1,340.1,22,1,1,1
host_361,64,8.93,1,0,0,0,0,endpoint,1,221.87,18,1,1,1
host_362,49,4.48,2,1,0,0,1,IoT,0,154.73,6,1,0,1
host_365,92,8.5,0,0,0,0,0,endpoint,0,229.2,17,1,1,1
host_367,93,2.4,3,0,1,0,0,server,0,307.83,17,1,3,1
host_368,46,3.73,1,0,1,0,1,IoT,0,328.74,12,1,0,1
host_370,99,5.61,3,1,0,0,1,endpoint,0,365.42,11,1,1,1
host_372,24,3.2,0,0,0,0,1,server,0,350.89,6,1,3,1
host_373,93,9.13,0,0,0,0,1,endpoint,0,319.67,6,1,1,1
host_374,46,4.09,3,0,0,0,0,router,0,297.23,7,1,2,1
host_375,53,7.48,1,1,1,0,0,router,1,352.21,6,1,2,1
host_378,60,8.07,1,0,0,1,0,endpoint,0,237.56,17,1,1,1
host_379,97,7.63,1,0,0,1,0,server,0,370.53,7,1,3,1
host_380,63,3.86,2,1,0,0,1,endpoint,0,265.34,15,1,1,1
host_381,85,9.54,4,0,0,0,1,server,0,345.05,4,1,3,1
host_382,32,9.11,0,0,0,0,0,server,1,266.03,2,1,3,1
host_383,87,9.62,2,0,0,0,1,endpoint,0,278.56,19,1,1,1
host_384,33,4.28,3,0,0,0,1,server,0,293.38,15,1,3,1
host_385,67,1.97,2,0,0,0,1,router,0,290.54,11,1,2,1
host_387,25,6.85,2,1,1,0,1,endpoint,0,335.4,15,1,1,1
host_389,54,7.86,2,1,0,1,0,server,0,400.25,6,1,3,1
host_393,24,7.4,1,0,0,0,1,endpoint,0,270.34,3,1,1,1
host_395,47,8.27,2,0,0,0,0,endpoint,0,331.57,12,1,1,1
host_397,23,7.94,2,1,1,0,0,router,0,378.23,12,1,2,1
host_398,66,9.89,1,1,0,0,0,router,0,357.92,2,1,2,1
host_399,27,6.79,2,0,0,0,1,endpoint,0,272.26,8,1,1,1
host_400,2,9.85,1,1,0,0,0,router,0,227.93,10,1,2,1
host_403,33,1.08,0,0,1,0,0,server,1,317.9,22,1,3,1
host_404,9,2.62,5,0,0,0,0,router,0,396.96,21,1,2,1
host_405,43,8.39,1,0,0,1,0,server,0,244.37,3,1,3,1
host_411,99,7.91,2,0,0,1,0,router,0,351.24,14,1,2,1
host_412,50,1.34,1,0,0,0,0,IoT,1,395.75,10,1,0,1
host_413,25,3.11,3,0,0,0,0,endpoint,0,297.01,23,1,1,1
host_414,24,6.16,1,0,0,0,0,IoT,1,372.95,5,1,0,1
host_415,13,6.91,0,0,0,0,1,server,0,316.82,0,1,3,1
host_416,60,4.04,2,0,0,0,1,router,1,306.43,13,1,2,1
host_417,7,8.75,1,0,0,0,0,server,0,262.79,5,1,3,1
host_418,57,4.15,0,0,1,0,0,IoT,1,175.22,21,1,0,1
host_422,65,7.09,2,0,1,0,0,endpoint,0,262.25,5,1,1,1
host_423,8,1.14,2,0,0,0,1,endpoint,0,350.2,17,1,1,1
host_425,14,7.81,2,0,0,1,0,server,0,269.42,21,1,3,1
host_426,76,3.66,3,0,0,0,0,endpoint,0,345.74,6,1,1,1
host_428,15,6.72,2,1,0,0,1,router,1,273.07,10,1,2,1
host_429,92,1.97,2,1,1,0,1,router,0,288.9,1,1,2,1
host_430,98,8.96,1,0,0,0,0,endpoint,1,282.76,6,1,1,1
host_431,66,1.06,0,0,0,0,1,IoT,0,230.99,1,1,0,1
host_432,32,7.07,0,1,1,0,0,endpoint,0,286.86,23,1,1,1
host_434,63,8.7,2,1,0,0,0,IoT,0,290.58,0,1,0,1
host_435,86,1.26,2,0,0,0,1,server,0,281.88,1,1,3,1
host_436,51,6.78,0,0,1,0,0,endpoint,1,363.37,3,1,1,1
host_439,63,4.91,3,0,0,0,1,router,0,334.34,1,1,2,1
host_440,62,7.22,1,0,1,0,0,server,0,273.64,12,1,3,1
host_441,22,9.38,0,0,1,0,0,IoT,1,293.3,1,1,0,1
host_444,86,8.06,1,0,0,0,1,router,0,257.11,5,1,2,1
host_446,52,9.87,5,1,0,0,0,router,0,279.06,4,1,2,1
host_447,42,6.19,0,0,0,0,1,router,0,303.2,7,1,2,1
host_448,70,6.51,3,1,0,0,0,server,0,347.16,1,1,3,1
host_450,54,2.4,3,0,0,1,0,server,0,410.64,6,1,3,1
host_451,60,6.59,4,1,0,0,0,router,0,222.42,4,1,2,1
host_452,97,9.1,1,0,0,0,0,endpoint,0,204.36,3,1,1,1
host_453,8,9.82,2,0,0,0,0,IoT,0,244.65,4,1,0,1
host_456,5,0.56,0,1,0,0,1,router,1,284.62,7,1,2,1
host_457,68,8.68,3,1,0,0,1,endpoint,0,342.24,11,1,1,1
host_459,96,0.02,2,0,0,0,0,IoT,1,309.64,7,1,0,1
host_461,47,3.4,2,0,1,0,0,server,1,327.88,10,1,3,1
host_462,99,9.91,0,0,1,0,0,router,0,306.15,23,1,2,1
host_465,52,3.35,0,1,0,0,0,IoT,1,324.63,3,1,0,1
host_467,13,0.2,5,0,0,0,0,router,0,344.37,5,1,2,1
host_471,63,2.31,0,0,0,0,1,endpoint,0,256.14,8,1,1,1
host_473,92,7.58,0,0,0,0,0,router,0,273.87,17,1,2,1
host_477,90,6.84,2,0,1,0,1,endpoint,0,289.47,5,1,1,1
host_478,62,0.03,1,0,1,0,1,router,0,268.22,12,1,2,1
host_479,23,9.31,1,0,0,0,0,endpoint,0,311.2,11,1,1,1
host_480,9,1.11,4,1,0,0,1,server,0,290.87,19,1,3,1
host_481,12,4.06,3,1,0,0,0,endpoint,0,341.97,5,1,1,1
host_482,1,7.71,0,0,0,0,0,server,0,235.84,4,1,3,1
host_483,58,4.35,5,0,0,0,0,IoT,0,267.66,23,1,0,1
host_484,1,9.47,2,0,1,0,0,server,0,320.9,22,1,3,1
host_485,34,4.68,4,1,0,0,0,endpoint,0,308.95,19,1,1,1
host_486,96,8.75,0,0,0,0,0,endpoint,0,239.92,10,1,1,1
host_487,48,8.11,1,0,0,0,1,server,0,218.85,0,1,3,1
host_488,89,9.81,1,0,0,0,0,router,0,346.73,3,1,2,1
host_489,1,9.27,1,0,1,1,0,router,0,203.93,1,1,2,1
host_490,16,8.98,1,0,0,0,0,server,0,291.2,4,1,3,1
host_491,61,7.32,5,1,1,0,0,endpoint,0,284.21,23,1,1,1
host_495,22,9.79,3,0,0,0,0,router,0,338.12,23,1,2,1
host_496,93,7.27,3,1,1,0,0,endpoint,0,278.95,7,1,1,1
host_497,67,9.29,0,0,1,0,0,endpoint,0,301.95,0,1,1,1
host_498,76,8.04,1,0,0,0,0,router,0,302.52,8,1,2,1
host_501,51,3.42,2,0,0,0,0,server,1,408.27,22,1,3,1
host_504,29,9.75,1,1,0,1,0,server,0,359.01,0,1,3,1
host_505,78,7.61,1,1,0,0,0,server,0,299.08,1,1,3,1
host_506,92,4.23,2,0,1,0,0,IoT,1,377.93,20,1,0,1
host_507,69,0.05,2,1,0,1,1,endpoint,0,293.6,19,1,1,1
host_508,47,3.13,1,0,0,0,0,server,1,259.29,20,1,3,1
host_511,69,1.11,2,1,0,1,1,router,0,307.29,12,1,2,1
host_512,76,4.43,1,0,0,0,1,server,0,287.24,8,1,3,1
host_514,90,9.09,4,1,1,0,0,server,0,256.16,6,1,3,1
host_517,85,0.05,2,1,0,0,1,router,0,269.08,15,1,2,1
host_518,39,3.28,1,0,1,0,1,router,0,371.37,19,1,2,1
host_519,33,6.6,3,1,0,0,0,server,0,296.4,16,1,3,1
host_520,94,7.3,1,1,0,0,0,server,1,388.19,11,1,3,1
host_521,23,4.53,4,0,0,0,0,endpoint,0,366.55,11,1,1,1
host_523,69,3.6,0,1,0,0,0,endpoint,1,265.77,23,1,1,1
host_527,10,7.91,3,0,1,0,0,endpoint,0,239.63,22,1,1,1
host_528,19,8.03,2,0,0,0,0,server,0,264.7,5,1,3,1
host_529,58,7.16,1,0,0,0,0,server,0,276.91,15,1,3,1
host_531,1,2.47,3,0,0,0,0,endpoint,0,325.58,18,1,1,1
host_532,69,9.96,2,0,1,0,0,endpoint,0,294.01,2,1,1,1
host_534,16,1.81,3,1,0,1,0,endpoint,0,381.97,1,1,1,1
host_536,80,3.28,3,0,0,0,0,endpoint,0,264.86,13,1,1,1
host_538,92,4.98,0,0,0,1,1,server,0,254.66,5,1,3,1
host_539,32,4.76,2,0,0,0,1,router,0,294.04,23,1,2,1
host_540,91,9.02,1,1,1,0,1,endpoint,0,271.62,15,1,1,1
host_543,12,5.97,3,0,1,0,1,endpoint,0,252.11,15,1,1,1
host_544,50,6.05,2,0,0,0,1,server,1,301.97,20,1,3,1
host_545,35,4.8,4,0,0,1,0,server,0,313.82,4,1,3,1
host_546,33,8.16,2,1,0,1,0,IoT,0,317.43,8,1,0,1
host_548,61,8.15,0,0,0,0,0,server,0,244.88,10,1,3,1
host_551,12,8.86,0,0,1,0,0,endpoint,0,278.03,15,1,1,1
host_552,67,6.49,0,1,0,0,1,endpoint,0,212.61,0,1,1,1
host_558,44,2.26,2,0,0,0,1,server,0,251.1,6,1,3,1
host_559,29,0.25,1,0,0,0,0,endpoint,1,284.42,15,1,1,1
host_560,13,7.23,2,0,0,0,1,IoT,0,297.07,8,1,0,1
host_561,12,8.1,1,0,0,0,0,server,0,282.75,16,1,3,1
host_562,95,7.97,1,1,0,0,0,router,0,321.48,16,1,2,1
host_564,2,9.03,0,0,0,0,0,IoT,0,212.65,8,1,0,1
host_566,87,8.98,2,0,0,0,0,endpoint,0,331.76,8,1,1,1
host_567,81,4.47,0,0,0,0,1,endpoint,0,285.05,14,1,1,1
host_568,90,4.37,1,0,0,0,1,server,0,303.49,23,1,3,1
host_569,8,7.85,1,1,0,0,0,IoT,0,337.46,15,1,0,1
host_571,26,5.21,3,0,1,0,0,endpoint,1,304.22,13,1,1,1
host_572,74,8.36,0,0,1,1,1,server,0,272.57,10,1,3,1
host_573,90,8.3,1,1,0,0,0,endpoint,1,266.94,4,1,1,1
host_574,34,9.56,1,1,1,0,1,endpoint,0,288.04,16,1,1,1
host_576,68,2.08,0,0,0,0,0,endpoint,1,290.11,10,1,1,1
host_580,36,2.4,1,0,1,0,1,endpoint,0,248.75,10,1,1,1
host_581,89,1.25,3,0,1,0,1,endpoint,0,239.59,1,1,1,1
host_582,21,5.86,4,1,0,1,0,endpoint,0,337.81,23,1,1,1
host_583,36,7.64,2,1,1,1,0,endpoint,0,225.87,12,1,1,1
host_584,10,9.93,4,1,0,0,0,endpoint,0,300.64,5,1,1,1
host_585,73,7.58,4,0,1,0,0,endpoint,0,236.05,6,1,1,1
host_586,24,7.94,0,0,0,0,0,endpoint,0,185.92,3,1,1,1
host_588,99,9.86,1,1,1,0,0,router,1,316.18,6,1,2,1
host_590,99,8.6,1,1,0,0,1,endpoint,0,279.09,21,1,1,1
host_591,36,9.46,0,1,0,0,0,endpoint,1,191.44,11,1,1,1
host_592,82,9.3,0,0,0,0,0,endpoint,0,276.17,12,1,1,1
host_593,96,3.81,3,0,0,0,0,router,0,343.51,0,1,2,1
host_594,24,0.79,1,0,1,0,1,IoT,0,339.85,8,1,0,1
host_597,96,1.05,3,0,1,0,0,IoT,0,298.39,10,1,0,1
host_599,12,3.41,0,0,0,0,1,endpoint,0,210.02,8,1,1,1
host_600,55,5.44,2,0,1,0,1,server,0,330.51,15,1,3,1
