host,open_ports,vuln_score,critical_vulns,service_http_open,service_ssh_open,service_rdp_open,snort_alert,device_type,geo_location_risk,avg_packet_size,scan_hour,label
host_39,47,5.77,2,0,0,0,1,endpoint,0,271.54,15,1
host_40,62,9.36,1,0,0,0,0,endpoint,0,259.78,2,1
host_41,51,8.67,2,0,0,0,1,endpoint,0,266.23,1,1
host_42,55,9.83,1,0,0,0,1,server,0,332.67,6,1
host_43,64,5.28,1,0,0,0,0,server,0,285.95,3,0
host_44,3,7.88,2,0,1,0,0,server,0,292.31,18,1
host_45,51,8.4,3,0,0,0,0,IoT,0,229.19,6,1
host_46,7,6.48,2,1,0,0,0,router,1,383.14,8,1
host_47,21,3.39,1,0,0,0,0,server,0,308.19,4,0
host_48,73,4.7,4,1,1,0,0,server,0,223.41,15,1
host_49,39,8.58,0,0,0,0,0,server,1,232.76,22,1
host_50,18,2.99,1,0,0,0,0,router,0,309.34,16,0
host_51,4,9.24,2,0,0,0,0,endpoint,0,311.2,8,1
host_52,89,2.3,2,0,0,0,1,IoT,0,288.94,20,1
host_53,60,7.5,0,0,0,0,0,endpoint,0,408.4,9,1
host_54,14,6.31,3,1,0,0,1,router,0,276.84,2,1
host_55,9,7.5,2,0,0,0,1,server,0,386.49,10,1
host_56,90,4.37,0,0,0,0,0,server,0,267.28,22,0
host_57,53,9.33,0,0,0,0,0,endpoint,0,255.88,21,1
host_58,2,6.32,0,0,0,0,0,IoT,0,263.47,10,0
host_59,84,2.88,1,0,1,0,0,router,0,233.71,7,0
host_60,92,6.38,2,0,0,0,0,server,0,185.52,14,0
host_61,60,2.87,2,0,0,0,0,IoT,0,319.35,23,0
host_62,71,2.94,3,1,0,1,0,IoT,0,285.45,12,1
host_63,44,4.0,0,0,0,0,0,endpoint,0,344.05,15,0
host_64,8,8.52,2,0,0,0,0,endpoint,0,280.87,21,1
host_65,47,5.0,2,0,0,0,0,endpoint,0,200.56,4,0
host_66,35,6.79,0,0,0,0,0,server,0,255.63,21,0
host_67,78,3.92,0,1,0,0,0,router,0,278.94,0,0
host_68,81,2.64,4,1,0,1,0,endpoint,0,326.33,9,1
host_69,36,9.55,0,0,0,0,0,endpoint,0,296.37,1,1
host_70,50,6.04,2,0,0,0,0,server,0,294.08,21,0
host_71,4,9.34,2,1,0,0,0,endpoint,0,298.12,4,1
host_72,2,2.03,1,0,1,0,0,server,1,283.47,12,1
host_73,6,1.47,1,0,0,0,1,endpoint,0,241.55,0,1
host_74,54,8.56,3,0,0,0,0,router,0,369.9,5,1
host_75,4,6.81,0,0,0,1,0,server,0,271.37,11,0
host_76,54,1.87,1,1,1,0,0,endpoint,1,254.63,1,1
host_77,93,2.69,2,1,1,0,0,server,0,263.37,19,0
host_78,63,8.01,4,0,0,0,0,router,0,262.51,14,1
host_79,18,4.54,0,0,1,0,1,server,1,308.58,8,1
host_80,90,6.71,0,0,0,0,0,router,0,237.32,5,0
host_81,44,3.18,2,1,0,0,0,IoT,1,299.21,2,1
host_82,34,3.81,1,1,1,1,1,endpoint,0,389.82,8,1
host_83,74,9.91,1,0,1,0,0,IoT,0,211.89,0,1
host_84,62,2.48,1,1,0,0,0,router,0,340.67,18,0
host_85,14,5.06,0,0,0,0,0,endpoint,0,339.94,4,0
host_86,95,8.44,0,0,0,0,0,IoT,0,279.5,2,1
host_87,48,2.39,2,0,0,0,1,server,0,199.07,5,1
host_88,15,4.15,2,0,0,0,0,IoT,0,317.1,4,0
host_89,72,6.15,4,0,0,0,0,endpoint,1,300.31,9,1
host_90,78,4.81,1,0,0,0,1,endpoint,0,378.29,11,1
host_91,87,4.6,1,0,0,0,0,endpoint,1,291.92,1,1
host_92,62,3.63,2,0,0,0,0,router,0,282.93,23,0
host_93,40,5.87,2,0,0,0,0,endpoint,1,301.75,1,1
host_94,85,6.24,2,0,0,0,0,endpoint,0,329.3,9,0
host_95,80,6.53,0,0,0,0,1,endpoint,0,274.88,17,1
host_96,82,0.7,2,0,0,0,0,router,0,329.17,21,0
host_97,53,6.31,1,1,0,0,0,endpoint,0,325.16,18,0
host_98,24,9.53,2,0,0,0,0,server,0,325.91,1,1
host_99,26,5.41,3,0,0,0,0,server,0,338.92,1,1
host_100,89,7.15,2,0,0,0,0,server,1,232.37,8,1
host_101,60,5.57,1,0,1,0,0,endpoint,0,244.32,13,0
host_102,41,8.55,0,0,0,0,0,endpoint,0,217.18,22,1
host_103,29,9.3,2,0,0,0,1,server,0,325.84,8,1
host_104,15,1.84,1,0,0,0,1,IoT,1,366.72,1,1
host_105,45,4.37,2,0,0,0,0,router,0,324.96,1,0
host_106,65,3.92,2,0,0,0,0,endpoint,0,266.95,2,0
host_107,89,4.05,3,0,0,0,0,server,0,328.73,23,1
host_108,71,1.26,1,0,1,1,0,router,0,287.43,15,0
host_109,9,8.14,2,0,0,0,0,router,0,317.99,20,1
host_110,88,0.36,4,0,1,0,1,router,0,289.65,16,1
host_111,1,5.28,2,1,0,0,0,endpoint,0,342.98,13,0
host_112,8,6.62,0,0,0,0,0,endpoint,0,269.12,0,0
host_113,88,2.07,1,1,0,0,0,router,0,226.2,6,0
host_114,63,9.06,0,0,0,1,0,endpoint,0,329.72,13,1
host_115,11,8.39,0,0,0,0,1,endpoint,0,346.64,5,1
host_116,81,4.71,2,0,0,0,0,server,0,261.85,10,0
host_117,8,4.11,3,0,0,1,0,endpoint,1,310.11,21,1
host_118,35,2.37,0,1,0,0,0,endpoint,0,271.37,20,0
host_119,35,7.3,3,0,1,1,0,endpoint,0,369.39,1,1
host_120,33,1.32,1,0,0,0,0,endpoint,0,306.73,3,0
host_121,5,6.8,2,0,0,0,0,endpoint,1,290.7,17,1
host_122,41,8.42,0,0,1,0,0,IoT,0,277.61,18,1
host_123,28,2.28,2,1,0,1,0,endpoint,0,323.73,23,0
host_124,7,8.66,0,1,0,0,0,endpoint,0,239.42,9,1
host_125,73,0.33,0,0,0,0,0,endpoint,1,211.25,3,1
host_126,72,9.13,4,0,0,1,0,endpoint,0,368.36,18,1
host_127,12,1.18,0,0,1,0,0,router,0,322.57,18,0
host_128,34,6.46,1,1,0,0,1,server,0,367.49,9,1
host_129,33,2.5,0,0,1,0,0,IoT,0,383.63,5,0
host_130,48,8.37,1,1,0,0,0,endpoint,0,316.79,9,1
host_131,23,5.12,1,0,1,0,0,server,0,332.1,14,0
host_132,62,1.35,1,0,0,1,0,server,0,394.93,8,0
host_133,88,5.71,2,1,1,0,0,server,0,386.5,6,0
host_134,37,4.08,2,1,0,0,0,server,0,279.94,20,0
host_135,99,6.61,2,0,0,0,0,endpoint,0,278.85,2,0
host_136,44,8.82,2,0,0,0,1,endpoint,0,346.61,0,1
host_137,86,4.09,2,0,0,0,0,server,0,278.04,2,0
host_138,91,2.9,5,0,0,0,0,server,0,298.17,18,1
host_139,35,0.15,4,0,0,0,0,endpoint,0,296.91,11,1
host_140,65,5.75,1,1,1,0,0,server,0,333.8,23,0
host_141,99,4.02,1,0,0,0,1,server,0,371.6,1,1
host_142,47,3.75,3,0,0,0,0,server,0,306.25,15,1
host_143,78,1.83,0,0,0,0,0,server,0,268.68,8,0
host_144,3,4.3,3,0,0,0,1,endpoint,0,270.89,19,1
host_145,1,9.84,1,0,0,0,0,endpoint,0,260.82,7,1
host_146,5,2.98,0,0,0,0,0,router,0,355.65,9,0
host_147,90,6.0,0,0,0,0,0,server,0,279.26,14,0
host_148,14,7.76,0,0,1,0,0,router,0,415.93,13,1
host_149,27,7.49,1,0,0,0,0,router,0,227.38,10,1
host_150,9,3.29,3,1,0,0,1,endpoint,0,246.31,12,1
host_151,79,6.11,1,1,1,1,0,endpoint,0,276.46,7,0
host_152,15,8.71,0,1,0,0,0,server,0,328.99,12,1
host_153,90,0.15,1,0,0,0,0,IoT,0,281.59,11,0
host_154,42,4.36,3,0,1,0,0,server,0,389.26,22,1
host_155,77,2.24,1,1,0,0,0,endpoint,0,293.78,7,0
host_156,51,3.89,1,0,0,0,1,router,0,251.29,11,1
host_157,63,4.16,2,1,0,0,0,endpoint,0,259.73,18,0
host_158,96,7.47,3,0,0,0,0,server,0,250.63,20,1
host_159,52,0.94,4,0,0,0,0,endpoint,0,320.61,18,1
host_160,96,5.13,2,1,0,1,0,endpoint,0,317.15,0,0
host_161,4,5.64,2,0,1,0,1,endpoint,0,351.33,21,1
host_162,94,4.94,1,1,0,0,0,endpoint,0,309.76,8,0
host_163,23,7.32,3,0,0,0,1,server,0,243.28,16,1
host_164,15,3.84,1,0,0,0,0,endpoint,0,344.59,23,0
host_165,43,9.45,2,0,0,0,1,router,0,198.22,2,1
host_166,29,4.82,5,1,0,0,1,server,0,226.11,5,1
host_167,36,5.71,1,0,0,0,0,router,0,383.17,8,0
host_168,13,8.26,7,1,1,0,0,router,1,309.96,8,1
host_169,32,2.75,2,0,0,0,0,router,1,318.8,17,1
host_170,71,0.75,1,0,0,0,1,endpoint,0,267.19,15,1
host_171,59,7.08,0,0,1,0,0,endpoint,0,214.11,19,1
host_172,86,4.83,2,0,1,0,0,server,0,285.8,17,0
host_173,28,8.97,3,0,1,0,0,endpoint,0,299.82,10,1
host_174,66,9.83,3,1,0,0,0,server,0,369.44,4,1
host_175,42,3.99,3,0,0,0,0,server,0,267.26,16,1
host_176,45,4.15,1,0,0,1,0,server,0,340.68,17,0
host_177,62,4.08,1,0,1,0,0,IoT,0,237.0,13,0
host_178,57,3.25,1,1,0,0,0,IoT,0,363.36,17,0
host_179,6,7.82,2,0,0,0,0,endpoint,1,336.83,2,1
host_180,28,7.59,1,1,1,0,0,router,0,313.75,2,1
host_181,28,4.79,2,0,0,0,0,server,0,271.43,21,0
host_182,44,0.45,1,0,0,0,1,server,0,233.39,15,1
host_183,84,3.1,2,1,0,0,1,server,0,314.67,9,1
host_184,30,2.92,3,1,0,1,0,router,0,255.81,21,1
host_185,62,8.11,1,0,0,0,1,endpoint,1,360.63,1,1
host_186,75,0.88,3,0,0,0,1,endpoint,0,281.32,16,1
host_187,92,8.06,1,1,0,0,0,endpoint,1,241.22,13,1
host_188,89,6.69,3,1,0,1,0,endpoint,0,241.96,12,1
host_189,62,7.32,5,0,1,1,1,endpoint,0,256.59,11,1
host_190,97,4.32,2,0,1,0,0,IoT,0,375.87,3,0
host_191,1,6.8,3,0,0,0,0,endpoint,0,399.43,23,1
host_192,27,6.09,1,0,0,0,1,endpoint,0,396.35,13,1
host_193,62,7.69,2,0,0,0,1,server,0,333.17,8,1
host_194,77,4.47,0,0,0,0,0,endpoint,0,248.36,21,0
host_195,3,4.73,2,1,0,0,0,endpoint,0,414.55,15,0
host_196,70,6.44,0,0,0,0,0,server,0,212.66,10,0
host_197,72,1.08,1,0,0,0,0,server,0,303.23,6,0
host_198,27,4.36,3,0,0,0,0,server,0,301.38,8,1
host_199,9,9.72,1,0,0,1,0,router,0,322.71,22,1
host_200,62,0.38,1,0,0,0,0,router,1,271.8,10,1
host_201,37,3.16,3,0,0,0,0,router,0,304.7,9,1
host_202,97,3.14,4,0,1,0,1,router,0,349.6,4,1
host_203,51,6.33,0,0,0,0,1,endpoint,0,268.98,11,1
host_204,44,1.06,0,1,0,0,0,server,0,297.83,15,0
host_205,24,6.29,2,0,0,0,0,endpoint,0,252.27,14,0
host_206,79,0.95,1,1,0,0,0,IoT,0,340.31,23,0
host_207,59,0.95,0,0,0,0,0,server,0,320.09,23,0
host_208,32,7.28,0,1,0,0,0,router,0,286.98,1,1
host_209,96,3.24,2,0,1,0,1,endpoint,0,303.68,3,1
host_210,88,9.77,3,0,0,0,0,IoT,0,421.7,11,1
host_211,52,0.37,2,1,0,0,0,endpoint,0,244.37,15,0
host_212,62,4.45,4,0,0,0,0,endpoint,0,255.36,21,1
host_213,58,1.13,2,0,0,0,0,IoT,0,314.26,5,0
host_214,52,3.51,1,0,0,0,0,IoT,0,342.33,0,0
host_215,12,9.98,1,0,0,0,1,endpoint,0,225.73,18,1
host_216,39,8.89,1,0,1,0,0,server,0,209.88,15,1
host_217,2,0.48,1,0,0,0,0,endpoint,0,132.68,14,0
host_218,3,5.63,1,1,0,0,1,router,0,300.71,14,1
host_219,56,6.48,2,0,0,0,1,endpoint,1,310.33,15,1
host_220,81,2.1,1,0,0,0,0,server,0,265.45,6,0
host_221,59,1.45,4,0,1,0,0,endpoint,0,317.71,20,1
host_222,2,9.04,0,0,0,0,0,server,0,337.89,11,1
host_223,2,9.69,4,0,1,0,0,endpoint,0,323.8,19,1
host_224,92,9.92,1,0,1,0,0,server,0,193.34,13,1
host_225,54,7.9,2,1,0,0,1,server,0,274.56,6,1
host_226,87,6.64,1,0,1,0,0,endpoint,0,284.72,12,0
host_227,96,3.46,5,0,0,0,0,router,0,313.46,3,1
host_228,97,1.71,4,0,0,1,0,endpoint,0,270.72,11,1
host_229,1,0.79,1,0,0,0,0,IoT,1,393.63,1,1
host_230,19,6.93,0,0,0,0,0,router,1,242.77,3,1
host_231,2,7.85,3,0,0,0,1,endpoint,0,313.57,2,1
host_232,53,8.26,2,1,0,0,0,server,0,305.18,18,1
host_233,44,9.14,2,1,0,0,0,server,0,242.52,8,1
host_234,90,8.8,0,0,0,0,0,endpoint,1,272.74,15,1
host_235,32,10.0,1,1,0,0,0,server,0,323.22,11,1
host_236,70,2.44,1,1,0,0,1,router,0,257.9,8,1
host_237,32,7.63,3,0,0,0,0,router,0,351.11,14,1
host_238,68,5.86,1,0,0,0,0,endpoint,1,290.34,19,1
host_239,55,2.61,2,0,0,1,0,endpoint,0,292.71,18,0
host_240,75,9.82,1,0,0,0,0,router,0,290.15,16,1
host_241,56,8.98,2,1,0,0,0,router,0,262.63,1,1
host_242,17,1.29,1,0,0,0,0,endpoint,0,374.35,20,0
host_243,38,0.26,1,0,1,0,0,endpoint,0,315.49,12,0
host_244,24,6.88,0,0,0,0,0,endpoint,0,384.75,15,0
host_245,69,6.04,0,1,0,0,0,endpoint,0,287.09,8,0
host_246,98,9.36,2,0,0,0,0,server,0,261.98,13,1
host_247,70,2.34,1,0,0,0,1,server,0,281.02,16,1
host_248,86,0.84,2,0,0,0,0,server,0,344.66,11,0
host_249,11,2.59,2,0,0,0,0,endpoint,1,265.01,12,1
host_250,16,0.19,3,0,0,0,0,router,0,270.21,19,1
host_251,97,0.36,2,0,0,1,0,router,1,245.87,15,1
host_252,73,9.15,1,0,0,0,0,endpoint,0,322.1,22,1
host_253,59,3.52,2,1,1,0,1,server,0,295.14,15,1
host_254,70,4.11,0,0,0,0,0,endpoint,0,294.94,20,0
host_255,80,0.18,1,0,0,0,0,endpoint,1,349.79,12,1
host_256,93,2.71,2,0,0,0,0,router,0,325.66,5,0
host_257,3,8.05,1,0,0,0,1,endpoint,0,321.18,11,1
host_258,20,6.15,2,0,0,0,0,server,0,328.31,10,0
host_259,59,7.54,0,0,0,0,0,server,0,277.24,11,1
host_260,36,4.47,1,0,1,1,0,router,0,291.61,1,0
host_261,19,3.1,2,0,1,1,1,server,0,348.93,15,1
host_262,90,4.83,2,0,0,0,0,router,0,325.62,14,0
host_263,67,3.23,0,0,0,0,1,endpoint,0,330.96,5,1
host_264,19,8.39,1,1,0,0,0,endpoint,0,322.14,9,1
host_265,20,2.98,1,0,0,0,0,server,0,358.31,15,0
host_266,96,6.6,1,0,0,0,0,endpoint,0,319.13,13,0
host_267,71,1.37,2,0,1,0,1,server,0,284.21,18,1
host_268,52,6.87,2,1,0,0,0,IoT,0,302.27,5,0
host_269,33,9.13,1,0,1,0,0,server,0,305.53,1,1
host_270,40,6.09,2,0,1,0,0,router,0,220.57,10,0
host_271,39,5.6,1,0,0,0,0,server,0,314.91,2,0
host_272,82,9.61,2,0,1,0,0,router,0,252.89,11,1
host_273,1,6.27,0,1,0,0,0,IoT,1,295.9,0,1
host_274,11,2.6,1,0,0,0,1,server,0,275.1,7,1
host_275,92,2.92,1,0,0,0,0,IoT,0,259.78,22,0
host_276,57,7.05,2,0,0,0,0,endpoint,0,325.87,0,1
host_277,89,7.35,2,0,0,0,0,server,0,306.22,9,1
host_278,50,3.03,3,1,1,0,0,endpoint,0,435.99,8,1
host_279,23,3.45,0,1,0,0,0,router,0,335.91,8,0
host_280,31,9.91,1,1,0,0,0,router,0,326.32,18,1
host_281,94,1.02,1,0,0,0,0,endpoint,0,309.5,23,0
host_282,42,4.05,1,1,0,0,0,endpoint,0,298.73,6,0
host_283,99,0.62,1,1,0,0,1,router,0,354.74,9,1
host_284,7,8.21,1,1,0,0,0,endpoint,0,296.74,7,1
host_285,16,0.92,0,1,0,0,0,server,0,302.02,17,0
host_286,90,6.74,2,0,0,0,1,server,1,376.94,9,1
host_287,60,0.56,1,0,0,1,0,server,0,221.96,16,0
host_288,2,6.73,2,0,0,0,0,server,0,334.52,6,0
host_289,1,8.43,1,1,0,0,0,endpoint,0,270.05,13,1
host_290,48,3.99,2,0,0,0,1,router,1,433.14,2,1
host_291,12,5.22,2,0,0,0,0,endpoint,0,258.21,15,0
host_292,69,4.02,2,0,1,0,1,server,0,258.28,0,1
host_293,37,3.0,4,0,0,0,0,endpoint,0,338.74,7,1
host_294,32,8.03,0,0,0,0,1,router,0,243.02,0,1
host_295,9,2.72,2,0,0,0,0,router,0,364.8,6,0
host_296,99,7.23,2,0,0,1,0,server,0,285.56,10,1
host_297,19,2.06,4,1,0,0,1,endpoint,0,264.02,7,1
host_298,48,2.5,2,1,0,0,0,endpoint,1,402.5,4,1
host_299,80,3.36,1,0,0,0,0,server,0,350.55,23,0
host_300,3,5.89,1,0,0,0,0,router,0,323.91,19,0
host_301,20,4.54,0,1,0,0,0,router,0,287.75,19,0
host_302,24,7.45,0,1,0,0,0,endpoint,0,343.3,13,1
host_303,54,2.14,5,0,0,0,0,endpoint,0,229.1,12,1
host_304,33,0.11,2,0,0,0,1,endpoint,0,386.59,16,1
host_305,24,7.77,3,0,0,0,0,server,1,347.63,5,1
host_306,75,8.22,1,0,1,1,1,endpoint,0,272.97,12,1
host_307,72,0.59,0,1,0,0,0,router,0,354.43,6,0
host_308,36,6.11,1,0,0,0,0,IoT,0,297.25,11,0
host_309,38,3.78,2,0,0,0,0,server,0,336.51,13,0
host_310,84,7.94,1,0,0,0,0,endpoint,0,359.72,20,1
host_311,99,8.74,2,0,0,1,1,endpoint,0,257.89,2,1
host_312,89,8.51,3,0,0,0,0,server,0,295.09,5,1
host_313,99,7.77,3,0,0,0,0,server,0,359.37,23,1
host_314,25,2.69,3,0,0,0,1,server,0,354.51,21,1
host_315,93,8.12,3,0,0,0,0,router,0,286.87,12,1
host_316,18,5.33,0,1,0,0,0,endpoint,1,310.92,19,1
host_317,82,0.53,1,0,0,0,0,endpoint,0,265.44,3,0
host_318,66,4.57,1,0,0,0,0,router,0,293.61,13,0
host_319,54,9.42,0,0,0,0,0,endpoint,0,292.02,8,1
host_320,35,8.88,1,0,0,0,1,endpoint,0,190.0,13,1
host_321,80,1.02,3,0,0,0,0,server,0,303.98,18,1
host_322,61,7.44,1,0,1,0,0,server,0,323.38,4,1
host_323,41,8.06,0,1,0,0,0,server,0,315.21,1,1
host_324,33,2.71,2,0,0,0,0,router,0,280.32,17,0
host_325,68,4.72,0,1,0,1,0,endpoint,0,329.64,16,0
host_326,33,7.11,2,0,1,0,0,IoT,0,292.51,20,1
host_327,14,4.39,2,0,0,0,1,endpoint,0,324.19,23,1
host_328,21,1.13,1,0,0,1,0,endpoint,0,225.35,7,0
host_329,48,7.06,3,1,0,0,0,server,0,323.95,5,1
host_330,20,9.12,1,0,1,0,0,server,0,286.5,18,1
host_331,8,6.52,1,1,0,0,0,server,0,249.53,15,0
host_332,7,7.74,2,0,0,0,0,endpoint,0,365.6,3,1
host_333,67,3.58,1,1,0,0,0,endpoint,0,313.25,14,0
host_334,17,1.83,1,0,0,0,0,endpoint,0,299.52,14,0
host_335,33,6.43,2,1,0,0,0,server,0,275.36,15,0
host_336,48,3.28,1,0,0,0,0,endpoint,0,294.54,5,0
host_337,76,8.6,1,0,0,0,1,router,0,313.84,17,1
host_338,59,1.23,2,0,0,0,1,endpoint,0,413.4,18,1
host_339,86,4.33,2,0,0,0,0,endpoint,0,332.81,15,0
host_340,22,3.97,1,0,0,0,0,server,0,228.14,15,0
host_341,30,9.38,1,1,1,0,0,endpoint,0,307.83,22,1
host_342,38,1.53,2,0,0,0,0,endpoint,0,285.64,18,0
host_343,51,0.1,1,0,0,0,0,endpoint,0,280.64,7,0
host_344,54,2.38,4,0,0,0,0,router,0,257.98,6,1
host_345,8,8.2,1,0,0,0,0,IoT,0,309.52,9,1
host_346,27,2.09,0,0,0,0,0,server,0,337.79,20,0
host_347,27,2.41,3,0,0,0,0,router,0,250.22,16,1
host_348,98,1.3,0,1,1,0,1,server,1,320.12,18,1
host_349,21,7.15,1,0,0,0,0,server,0,341.18,8,1
host_350,30,0.69,0,1,1,0,1,router,0,334.86,18,1
host_351,97,3.31,4,0,0,0,0,endpoint,0,305.81,13,1
host_352,28,2.82,1,0,0,0,0,server,0,321.86,22,0
host_353,64,5.55,1,1,1,0,0,endpoint,0,311.97,3,0
host_354,97,7.3,2,0,0,0,0,endpoint,0,317.55,8,1
host_355,69,5.33,1,1,0,1,0,IoT,0,242.45,1,0
host_356,61,9.31,2,0,0,0,0,server,0,280.72,23,1
host_357,48,9.51,2,0,1,0,0,endpoint,0,214.42,15,1
host_358,19,3.61,1,1,0,1,0,endpoint,0,327.98,23,0
host_359,4,7.78,2,0,0,0,0,server,0,320.16,6,1
host_360,35,7.39,1,1,0,1,1,endpoint,1,340.1,22,1
host_361,64,8.93,1,0,0,0,0,endpoint,1,221.87,18,1
host_362,49,4.48,2,1,0,0,1,IoT,0,154.73,6,1
host_363,17,5.3,1,0,0,0,0,server,0,292.88,3,0
host_364,44,4.16,2,0,1,0,0,server,0,326.97,19,0
host_365,92,8.5,0,0,0,0,0,endpoint,0,229.2,17,1
host_366,30,2.3,2,0,0,0,0,server,0,227.44,8,0
host_367,93,2.4,3,0,1,0,0,server,0,307.83,17,1
host_368,46,3.73,1,0,1,0,1,IoT,0,328.74,12,1
host_369,6,2.3,0,1,1,0,0,endpoint,0,305.09,19,0
host_370,99,5.61,3,1,0,0,1,endpoint,0,365.42,11,1
host_371,37,1.34,0,0,0,0,0,IoT,0,246.57,14,0
host_372,24,3.2,0,0,0,0,1,server,0,350.89,6,1
host_373,93,9.13,0,0,0,0,1,endpoint,0,319.67,6,1
host_374,46,4.09,3,0,0,0,0,router,0,297.23,7,1
host_375,53,7.48,1,1,1,0,0,router,1,352.21,6,1
host_376,95,1.13,2,1,1,0,0,endpoint,0,285.44,15,0
host_377,99,2.48,2,0,0,0,0,endpoint,0,301.8,22,0
host_378,60,8.07,1,0,0,1,0,endpoint,0,237.56,17,1
host_379,97,7.63,1,0,0,1,0,server,0,370.53,7,1
host_380,63,3.86,2,1,0,0,1,endpoint,0,265.34,15,1
host_381,85,9.54,4,0,0,0,1,server,0,345.05,4,1
host_382,32,9.11,0,0,0,0,0,server,1,266.03,2,1
host_383,87,9.62,2,0,0,0,1,endpoint,0,278.56,19,1
host_384,33,4.28,3,0,0,0,1,server,0,293.38,15,1
host_385,67,1.97,2,0,0,0,1,router,0,290.54,11,1
host_386,18,6.27,0,0,0,0,0,endpoint,0,325.07,17,0
host_387,25,6.85,2,1,1,0,1,endpoint,0,335.4,15,1
host_388,95,1.25,1,0,0,0,0,router,0,293.5,23,0
host_389,54,7.86,2,1,0,1,0,server,0,400.25,6,1
host_390,58,0.18,0,0,0,0,0,router,0,287.21,2,0
host_391,67,4.83,2,1,1,0,0,server,0,355.72,7,0
host_392,46,3.31,2,1,0,0,0,endpoint,0,300.81,18,0
host_393,24,7.4,1,0,0,0,1,endpoint,0,270.34,3,1
host_394,32,3.13,1,0,0,0,0,endpoint,0,278.36,12,0
host_395,47,8.27,2,0,0,0,0,endpoint,0,331.57,12,1
host_396,86,5.95,1,0,0,0,0,server,0,360.34,15,0
host_397,23,7.94,2,1,1,0,0,router,0,378.23,12,1
host_398,66,9.89,1,1,0,0,0,router,0,357.92,2,1
host_399,27,6.79,2,0,0,0,1,endpoint,0,272.26,8,1
host_400,2,9.85,1,1,0,0,0,router,0,227.93,10,1
host_401,90,0.29,2,0,0,0,0,router,0,330.31,22,0
host_402,17,3.38,1,0,0,0,0,server,0,273.98,23,0
host_403,33,1.08,0,0,1,0,0,server,1,317.9,22,1
host_404,9,2.62,5,0,0,0,0,router,0,396.96,21,1
host_405,43,8.39,1,0,0,1,0,server,0,244.37,3,1
host_406,48,0.32,2,1,0,0,0,endpoint,0,314.61,15,0
host_407,39,5.2,2,0,0,0,0,IoT,0,242.48,12,0
host_408,93,5.67,1,0,0,0,0,endpoint,0,382.07,10,0
host_409,42,5.61,1,0,0,0,0,IoT,0,276.55,9,0
host_410,26,4.75,1,0,0,0,0,server,0,291.19,19,0
host_411,99,7.91,2,0,0,1,0,router,0,351.24,14,1
host_412,50,1.34,1,0,0,0,0,IoT,1,395.75,10,1
host_413,25,3.11,3,0,0,0,0,endpoint,0,297.01,23,1
host_414,24,6.16,1,0,0,0,0,IoT,1,372.95,5,1
